brand,origin_counrty,region,,,
volkswagen,German,EU,,,
audi,German,EU,,,
jeep,United States,NorthA,,,
skoda,Czech,EU,,,
bmw,German,EU,,,
peugeot,French,EU,,,
ford,United States,NorthA,,,
mazda,Japan,Asia,,,
nissan,Japan,Asia,,,
renault,French,EU,,,
mercedes_benz,German,EU,,,
opel,German,EU,,,
seat,Spanish,EU,,,
citroen,French,EU,,,
honda,Japan,Asia,,,
fiat,Italy,EU,,,
mini,British,EU,,,
smart,German,EU,,,
hyundai,South Korean,Asia,,,
sonstige_autos,Other,Other,,,
alfa_romeo,Italy,EU,,,
subaru,Japan,Asia,,,
volvo,Sweden,EU,,,
mitsubishi,Japan,Asia,,,
kia,South Korean,Asia,,,
suzuki,Japan,Asia,,,
lancia,Italy,EU,,,
porsche,German,EU,,,
toyota,Japan,Asia,,,
chevrolet,United States,NorthA,,,
dacia,Romania,EU,,,
daihatsu,Japan,Asia,,,
trabant,German,EU,,,
saab,Sweden,EU,,,
chrysler,United States,NorthA,,,
jaguar,British,EU,,,
daewoo,South Korean,Asia,,,
rover,British,EU,,,
land_rover,British,EU,,,
lada,Russia,EU,,,
