Year,Avg.Of Dollar index
1986,111.6983333
1987,96.27666667
1988,92.97666667
1989,98.32166667
1990,89.15333333
1991,90.3475
1992,87.45083333
1993,94.03916667
1994,90.86166667
1995,84.00083333
1996,87.205
1997,96.47166667
1998,98.65083333
1999,100.0458333
2000,109.7675
2001,115.6541667
2002,110.85
2003,95.34166667
2004,87.1525
2005,87.49333333
2006,85.9075
2007,80.34916667
2008,77.09583333
2009,80.69125
2010,81.5155
2011,76.32491667
2012,80.42091667
2013,81.50841667
2014,83.12941667
2015,96.84066667
2016,97.22658333
2017,95.79058333
2018,93.5985
2019,97.18983333
2020,95.35641667
2021,92.76375
2022,96.537
